Class;Co-change-class;Comon-percentage;Common-count;Total(Class)
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ANTLR.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/ResourceUtils.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Property.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ManifestTask.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Property.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/ReflectUtil.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Rmic.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Rmic.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/ResourceUtils.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/util/regexp/RegexpFactory.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/regexp/RegexpMatcherFactory.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/PropertyHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/PropertyHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/Project.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/util/DOMElementWriter.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/depend/bcel/DependencyVisitor.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/JavaResource.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/AbstractClasspathResource.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/Project.java;/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/Project.java;/ant/core/trunk/src/main/org/apache/tools/ant/PropertyHelper.java;33.33333333333333;2;6
